"country","cntry_code","admin_name","ipum_code","ipum_ref_year","muni_code","muni_orig_col","parent","ntl_2006","ntl_2007","ntl_2008","ntl_2009","ntl_2010","ntl_2011","ntl_2012","ntl_2013","ntl_2014","ntl_2015","ntl_2016","ntl_2017","ntl_2018","ntl_2019"
"Brazil","076","Caraguatatuba","035169",2010,"3510500","MUNI2010","035",14.3360128617363,13.8279742765273,12.3762057877814,14.0998363338789,15.2815057283142,13.8297872340426,18.6704180064309,16.4774919614148,17.9790996784566,17.6141479099678,17.7009646302251,20.7154340836013,20.4083601286174,20.5836012861736
"Brazil","076","Mossoró, Grossos, Tibau","024019",2010,"2408003","MUNI2010","024",4.83920313055852,5.28317324795446,4.38278192813945,5.09903811898824,6.63804773779836,6.72996081225508,7.6221985058698,6.33653504091071,5.87228744219139,5.9928850942725,5.83600142298115,7.73568125222341,7.76093916755603,7.55496264674493
"Brazil","076","Açu","024020",2010,"2400208","MUNI2010","024",2.13931681178834,2.13194909578031,2.0669792364367,2.13168449197861,2.57286096256684,2.29879679144385,3.1138647019424,2.96851975887475,2.21299397186872,2.26925653047555,2.21165438713999,3.1848626925653,3.16075016744809,2.78834561286001
"Brazil","076","Serra do Mel, Carnaubais, Alto do Rodrigues","024021",2010,"2400703","MUNI2010","024",2.78526048284625,2.94917407878018,2.4720457433291,2.10630171865054,2.72692552514322,2.34245703373647,3.22681067344346,2.06670902160102,1.36975857687421,1.51143583227446,1.26874205844981,2.24587039390089,2.18043202033037,2.11626429479034
"Brazil","076","Areia Branca, Porto do Mangue","024022",2010,"2401107","MUNI2010","024",4.12948717948718,3.73717948717949,3.16282051282051,3.82247765006386,4.09450830140485,4.22222222222222,4.06153846153846,2.68076923076923,2.35128205128205,2.22051282051282,2.22820512820513,4.41666666666667,5.09102564102564,4.46025641025641
"Brazil","076","Baraúna","024023",2010,"2401453","MUNI2010","024",0.65253360910031,0.89865563598759,0.758014477766287,0.826625386996904,2.00825593395253,2.68317853457172,2.32988624612203,1.45811789038263,1.19855222337125,1.26163391933816,1.17476732161324,2.29369183040331,2.16959669079628,1.97001034126163
"Brazil","076","Parnamirim","024024",2010,"2403251","MUNI2010","024",43.7823129251701,42.9115646258503,46.0136054421769,50.1029411764706,52.0882352941176,55.4705882352941,52.9659863945578,54.3469387755102,55.7414965986395,56.3809523809524,56.4897959183673,55.9523809523809,55.6394557823129,57.5034013605442
"Brazil","076","São Gonçalo do Amarante","024025",2010,"2412005","MUNI2010","024",19.2465753424658,18.1369863013699,17.9075342465753,17.1,20.5068965517241,17.8931034482759,24.4075342465753,24.6335616438356,27.8732876712329,29.5993150684932,32.0582191780822,29.3287671232877,28.4931506849315,30.472602739726
"Brazil","076","São Francisco do Oeste, Francisco Dantas, Rodolfo Fernandes, Taboleiro Grande, Apodi, Severiano Melo, Riacho da Cruz, Itaú, Rafael Godeiro, Olho-d'Água do Borges","024026",2010,"2401008","MUNI2010","024",1.49362089914945,1.59386391251519,1.08961117861482,1.14580801944107,1.75820170109356,1.73724179829891,2.3359659781288,2.23055893074119,0.86543134872418,0.96142162818955,0.880619684082625,1.85328068043742,1.85814094775213,1.74058323207776
"Brazil","076","Ceará-Mirim","024027",2010,"2402600","MUNI2010","024",6.8256351039261,6.68591224018476,7.03464203233256,6.43742824339839,7.48564867967853,7.38461538461539,8.96882217090069,8.66512702078522,5.58429561200924,6.68013856812933,7.8729792147806,10.175519630485,9.54849884526559,8.5796766743649
